Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--delarc_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
CC_pH4_2,-0.03625027091120897,0.04202975394366228,-0.005618631308898331,-0.13446637443955173,0.020500259681645296,-0.010432078538705477,0.007569576424101125,-0.012441730019838919,0.015617960870832854,-0.022172548169594096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011803763326671925
CC_pH5_0,-0.0590101143701569,0.045796489385159116,-0.005022956020725164,-0.10726363397810769,0.023581349184817593,-0.023020665866687245,0.009876520089481188,-0.006047922196271627,0.030727746380169108,-0.04528089507523439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08114687964645667
CC_pH5_1,-0.061784032763832306,0.04460992453214915,-0.005114664511917078,-0.11022803727132471,0.02821322087522435,-0.023303382778135324,0.007998964384846067,-0.01345156160588174,0.02516726844903568,-0.027771781777720092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11230826956373989
CC_pH5_2,-0.044810610189224075,0.038017489951427855,-0.007459666320001301,-0.11935754529564925,0.02613356751268325,-0.025142728197590815,0.010513313140558159,-0.004012785668930282,0.024695393346735962,-0.034240510977561714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09911694942295314
CC_pH6_0,-0.08203483757765398,0.06089909033120975,-0.004082404491694077,-0.20823415465045556,0.03645304614516056,-0.036865975540941176,0.014857256503208823,-0.016407410247332378,0.026803300688448165,0.0729480063724939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2884225051673924
CC_pH6_1,-0.0853672465451224,0.07874175862044744,-0.00241806215201707,-0.21732354878528928,0.03525604253229888,-0.036493949809152146,0.015214447560517676,-0.012898263327534439,0.03501461870158496,0.0546101207367104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29127362738877827
CC_pH6_2,-0.07370258382157141,0.08867489558685085,-0.012232975130090888,-0.23622555531520886,0.03303553664611409,-0.04367860652992259,0.01574315362002538,-0.015158282247088529,0.030817286345459844,0.07706304837787605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2957269459022493
CC_pH7_0,-0.12130389775028048,0.12097216046860683,-0.017504592388868333,-0.24969421654048812,0.04250425033473774,-0.046852676943349464,0.02403643087200497,0.007368018387857343,0.04870110864548578,0.056109332420822715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5922068579302491
CC_pH7_1,-0.07538466631029936,0.07441731867663885,-0.012301359747172056,-0.22740981366080437,0.02621490114247021,-0.03607318031358654,0.02228478955185931,0.0031019138953769982,0.033812346487994416,0.05567366780996647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5480973412378645
CC_pH7_2,-0.07282964827533328,0.1047534031631506,-0.011803836243470077,-0.2378264778755281,0.03545093983695235,-0.04451257221319753,0.025613691359758377,0.012095267311872349,0.020735312107059613,0.0326598383611797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5469120935714209
CC_pH8_0,-0.07057093531217265,0.07255402538115563,-0.01129311473959166,-0.17575978753521387,0.03366128681025104,-0.02625617329557629,0.01598667166155317,0.003926937191382696,0.02748788363745679,-0.0054008762668008425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8455353071301549
CC_pH8_1,-0.0650692537026075,0.06450644828541123,-0.012332285797304436,-0.2069082710677353,0.029131610424703237,-0.02670538051337328,0.015806641131639477,0.008834682545098274,0.04972713813469137,0.007344587651364831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8378107178569503
