Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc-_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BV_pH5_2,0.038830056398621075,-0.06190810219101286,-0.009771497010698783,0.015427303236463795,-0.002306134608452738,-0.036992198094401664,0.03709620854371916,0.002521216371299129,-0.004849382787942885,-0.3213146673531635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,0.05426438934777095,-0.07147939265341216,0.0015727896810225773,0.011849660312999844,-0.0008325959555804692,-0.022387187398322243,0.03620194795015066,-0.0006347229793343866,-0.01090414524321323,-0.16105439807571797,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,0.045832665443582374,-0.07163404768413824,-0.017633594306104866,0.011742634390197371,0.009806108679622417,-0.019826442845489678,0.03888988186645766,0.01321962786028567,-0.003980318618857342,-0.12471185232715118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,0.05507425227890845,-0.05812227963834355,-0.010537214302660332,0.010938510804072673,0.005689385299287414,-0.0249308186315972,0.0348761488724014,0.0007011273341334402,-0.008951126983308274,-0.14283780011712857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,0.10091945316237598,-0.046543222718426716,0.0064500442584571665,0.028543908990433683,0.017861940812967398,-0.09981205449804016,0.0729506648145616,0.009424234663500725,0.007197838334933568,0.14960320567631208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,0.0970172693936721,-0.044368771752747505,-0.0013577875899879876,0.02567058435519753,0.02085780121143098,-0.09953064826519595,0.07501520192250609,0.006048648435136552,0.01129330229743019,0.16591583341926985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,0.098169591686,-0.03299377746394148,0.010810387214726725,0.030438006171227803,0.010151001198784166,-0.09992713842702948,0.07276358408448491,-0.007050105013439192,0.009019515213921026,0.16328124561873472,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,0.10150701944108889,-0.05188632859726964,0.005831631467394207,0.03412949586935017,0.011710390897224778,-0.08644720315933227,0.06728049586648527,0.004852823913907224,0.020672774870434542,0.3398176902103359,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,0.09603807894593996,-0.051920595779691034,0.012980239784911916,0.03413755599652295,0.018564882241189486,-0.08674246310863806,0.07426490630306624,-0.004933420585711368,0.02039404491529517,0.35504436460040184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,0.11035413182947945,-0.0697402341801511,0.006628305404244556,0.03771691499277948,0.010228433315034794,-0.08571930635234584,0.08365409092167794,-0.0037936512931533452,0.021100706795797387,0.3592304492515067,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,0.11907697904369108,-0.07886766846980088,0.02059456736497256,0.033143662479908555,0.00019336318516213635,-0.08165781566468269,0.08159730009896603,-0.011804995971691346,0.021774276834305207,0.42873256187805014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,0.08356007096236168,-0.07176913795344853,0.010925311140068195,0.036691217512378235,0.012478458109595197,-0.08051995883331349,0.07237830891800316,0.00967090158439848,0.022822927825314844,0.44523127115615024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,0.0976029329917029,-0.0693996937961682,0.01153490477039113,0.03623761157383738,0.01015092647998877,-0.08106161070096753,0.07586995540348732,0.00016346368209822952,0.025401003273284962,0.43979272702951777,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
CC_pH4_0,0.04029015219162988,-0.04028513223580693,0.0010447806703007727,0.00838514164900002,0.0020433112436338665,0.007239795626829499,-0.05056523514830547,-0.0004801113247547463,0.0009051511671556066,-0.32056791516749755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032572508755295392
CC_pH4_1,0.03305841390124481,-0.03702481250562097,-0.007400286854447236,0.018859111350839553,0.0029780311728625254,0.005626547313092842,-0.04889159036719282,0.0013431508579979732,0.008116190220512772,-0.3302601036113567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.004437627208196163
CC_pH4_2,0.04403071610257027,-0.051860538203593175,-0.004099845516130981,0.009116608025911056,0.0007697323134735902,0.013436149725609501,-0.05066540624784387,0.0031056144347657295,0.003008264822318501,-0.3192646378489292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011803763326671925
CC_pH5_0,0.054939423629447155,-0.06362234178687567,0.001854603400696871,0.018912077597139976,0.004578296539738129,0.006725780369470949,-0.04695968876633306,-0.0007856861080812367,0.0019312267054034315,-0.2676890726873409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08114687964645667
CC_pH5_1,0.051061115812348276,-0.07035685248430008,-0.0066761661353318645,0.011841680665055039,0.0010226543361078182,0.008088912645597822,-0.04979094212469848,0.0036961027793586195,0.0019083091794796603,-0.22996112055833576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11230826956373989
CC_pH5_2,0.05400349563635561,-0.08168229155485397,0.0007937200982933442,0.01565040289221899,0.0023181731423930025,0.013462631513729048,-0.0493597965169212,-0.0032130516020824076,0.00046032375291637427,-0.2399703575743605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09911694942295314
CC_pH6_0,0.07503499855084912,-0.03569445208443896,-0.009031980558420007,0.0008396536306194655,0.021477457897980577,0.02325464214805676,-0.0763141720029323,0.011333207601438392,0.011814689097683066,-0.06789728050727559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2884225051673924
CC_pH6_1,0.07222160880656343,-0.039275297271492704,-0.0035500191808070874,0.001794967634360426,0.02449792759654963,0.022241886609598346,-0.0776393028607835,0.004832094132738265,0.009667258884595787,-0.06103013765066859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29127362738877827
CC_pH6_2,0.07612986517827147,-0.031922410784046285,-0.008652750650501766,-0.005566362204920994,0.011828647666489302,0.027360844199100252,-0.07657681622258995,0.012592020166794891,0.014489797645288962,-0.06757078098862065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2957269459022493
CC_pH7_0,0.11468752436987732,-0.05330500998412788,0.004599976302327019,0.026737736565587315,0.02329314984462184,0.042939462514351226,-0.14639832775715905,-0.008756845028989988,0.02415047452420645,0.28014114977225024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5922068579302491
CC_pH7_1,0.130768189933151,-0.04282607790082695,0.008579610003887305,0.022189751390529724,0.015016228407621382,0.036581658689386176,-0.15053903660372553,0.008591818880775698,0.02260856810066363,0.21852469204560568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5480973412378645
CC_pH7_2,0.11470140379489116,-0.038200990820060586,0.0017611798109567634,0.02218117186637677,0.02245560786241423,0.03580154279003973,-0.15170927075588186,0.009432796096510203,0.024847182211992513,0.22718789768931655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5469120935714209
CC_pH8_0,0.09702584095785151,-0.08108806258877334,0.00910569993293156,0.03335145760327577,0.005306175296073383,0.0384664502011045,-0.12868082966979433,0.016058024350229818,0.02994906183494175,0.5081713552700114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8455353071301549
CC_pH8_1,0.0991363301160543,-0.08311592901368506,0.008927678855378988,0.031204541562044087,0.010171542432483137,0.04329441883884695,-0.12933447601516612,0.009484674664133257,0.030055244552862362,0.5012238393861638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8378107178569503
CC_pH8_2,0.09678212244549522,-0.08101204692264616,0.010382379021333613,0.03505556983225372,0.015142998594952661,0.03144148448239202,-0.12952542331555617,0.008091587409701045,0.03385573330618765,0.5063391417086772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8442380625189879
