Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc-_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH6_1,-0.09887110366283552,0.006970661810558773,0.009584475865830546,-0.0026692959050769395,0.0008395065529190993,0.010210793403827627,0.01018596833166869,0.020063416918982634,0.006368201122335764,-0.018884500840111923,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.08679779920403079,0.0060358218427585516,0.012383476910383804,-0.005528690197869488,0.0018811184070680448,0.007724023265359191,0.008327682568975118,0.015993875331528806,0.005207340906819571,-0.021428726232894088,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.14243305780479446,0.007316090966696326,0.010163701183122138,-0.013694948923328646,0.011049635888117809,0.009068882259661735,0.011198000713534977,0.027307197066104932,0.012502520798665028,0.011320101328842019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.15035802731047504,0.007439707867477253,0.01761660756786233,-0.013079782343753005,0.00309055320594622,0.012770863436162473,0.01289102204953847,0.030657642124139746,0.010024108540104784,0.012745428289408268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.1455361392494777,0.0074366258117167855,0.010752531309490618,-0.008597862754503026,0.009215679476442546,0.010560857188766416,0.011122046581105048,0.02462512268482343,0.010097020608575447,0.014122241941159186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.16947903086795754,0.008441044289780701,0.01783455586141866,-0.012749145892651187,0.007599490801601307,0.015537726036880329,0.011491125499748666,0.026330902545672396,0.009996385528989462,0.02879506979461597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.17104604513424893,0.009444743087110312,0.012906909899219223,-0.008221078939411952,0.002691173166360544,0.008248763494193553,0.009190323312321433,0.027867769989306516,0.014595974154122499,0.03811959056912557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.18797029614610522,0.010565010095420092,0.019800153690511767,-0.012888898308510368,0.0050602279263346085,0.011174270873484406,0.009739073492262674,0.0355253287712517,0.014851273529879423,0.03794197967356961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.19162825197467334,0.011082581450109898,0.01799372910157494,-0.01729964150034863,0.009957800165790577,0.014828428110998609,0.010742788760234477,0.03212520835678214,0.012529824896027213,0.04346565610364727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.19601395355942455,0.010518801685260691,0.01162102959078291,-0.018593226593473684,0.006489785781697085,0.014414524695147639,0.01182394130398398,0.036737855421784135,0.01638307357935802,0.05041629169298255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.19431979221980206,0.01024311423625635,0.014984975779510067,-0.01283940123637085,0.009920940240440157,0.01325402408352365,0.008853616505537341,0.026180245016256105,0.015217526602032393,0.05230287459071562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.029666638063347857,-0.015317294285025285,-0.0064666173024022075,-0.0062350481197885835,0.0018000341174395193,0.00663370518904665,0.007243171841230082,0.009480222300018954,0.004092351332630799,-0.02776576622834672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.03869693305991266,-0.011541799622709336,-0.00418428178390731,-0.00342994457029778,0.0023545277167273605,0.0076194911563526035,0.007017606376953747,0.010771531064225279,0.0040083430788439255,-0.03012041736880074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.03219066017023895,-0.01070640945888084,-0.006086228049319725,-0.004352020059266816,0.00025064166635274914,0.005245528692460575,0.005155053911325725,0.01147889229428509,0.0016296276952261508,-0.026626303926434204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
