Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH4_0,-0.03943980874817656,-0.08485299255374983,0.004615814020938198,-0.01106415360599108,-0.007089892245181229,-0.005026397220790387,-0.0021393657362331515,0.01636555868565388,0.028176702781701864,-0.05756936445103392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.05032511543320574,-0.06694406468664173,0.00828970027115682,-0.01225665336474776,-0.006247682888870654,-0.006394990429930066,-0.002633474776926249,0.0179827260468965,0.02452347693154993,-0.06401782096728036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.05426164365171091,-0.07754329544208619,0.006713805815771869,-0.013424750078145574,-0.00796988871758399,-0.008087216592191354,-0.0043002744796483425,0.020492277214222632,0.034834896748804536,-0.0544778097210371,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.046345752825069676,-0.08605481530742154,0.01078946507900305,-0.015745751955748902,-0.004970222162487715,-0.006848950881672941,-0.002179159726947545,0.015831680657423054,0.023820124871866858,-0.04632051673677304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.04521094604678776,-0.09197543953099975,0.009452966148762598,-0.016089941269677614,-0.005553926295884279,-0.005719375608731873,-0.0006536077019637037,0.018715134154519312,0.03382517656068439,-0.05481393914993689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.05826193769988807,-0.07653073310690081,0.009554636458177924,-0.016888549080037552,-0.007592574459217166,-0.010106866637487775,-0.00575870167787956,0.019290305728335747,0.030930938188634495,-0.04266041589252975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.0635848354936942,-0.12674026125070192,0.009566428892152465,-0.016450249649908228,-0.007863470095655195,-0.010065145568679207,-0.005862604133460832,0.024303254198444927,0.03499292290890995,0.003680061344057321,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.06587340640390049,-0.13642086525812094,0.009909245686038678,-0.01727340011007112,-0.00835929177377535,-0.009942310249189968,-0.004836429347000691,0.01766157995828468,0.03464838446320399,0.02246258964681107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.06708084337980204,-0.13633597443852088,0.01088844357787267,-0.019297348762174014,-0.008741118726523025,-0.0073350922577083135,-0.005410814111971337,0.024644176187398635,0.03267942613719598,0.017965242256936822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.0961219679272693,-0.12161745019176086,0.007086275159988713,-0.02280735077498399,-0.013808878038240515,-0.011060090159754392,-0.010569573567127405,0.03476712638026346,0.03862020799890161,0.03748780299544983,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
