Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parc_3,0.2281066015881041,-0.24989024453593986,0.003884058039554434,0.19458658658615915,-0.031402496574041615,0.022534583802537426,0.04433613541738496,-0.00818647675054229,-0.49827928912218483,0.022732492932320946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,0.15346622748016983,-0.21906248944487583,0.021333503280158924,0.20963558287278786,-0.03156370567238849,0.045597474544673514,0.05443800625026873,0.007185697479011568,-0.5424475121433321,0.029839166736878128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.12587861921881205,-0.08252109712516162,0.026806120880191096,0.12607225693235902,-0.023504082669463494,0.03930050953939232,0.04174442089365228,-0.021479128951449756,-0.31530693458879133,-0.04763298393065191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.0780783378434084,-0.0996993419823601,-0.007467013534725357,0.14430355628304506,-0.018476168595092452,0.04326445812764375,0.0389578378236974,-0.00824545032911651,-0.28184810725121723,-0.019510408186394223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,0.13825552953002246,-0.1429867113377574,0.0008979158354518192,0.18420989368515814,0.02177402938513653,0.004249695124833477,0.05150349958799779,-0.006955385777451418,-0.3366831613708612,-0.0449076044636414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.1079434248999409,-0.062097720881195174,-0.005415945293624761,0.14239052314837666,-0.03458849554233576,0.051410053316503765,0.04247074915784533,-0.029543326869606982,-0.3263251976235568,-0.01688636411345848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.02410586604443581,0.025483804240660827,-0.0011634319700786597,-0.05890060176505991,0.006373699795778681,-0.015578633893038268,-0.010566664057905262,-0.0044329072041032124,-0.03081835656669801,-0.01693334293875681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.016001803481384465,0.03683796222645627,-0.00493117262042411,-0.05021348214222361,0.010162465054460845,-0.01487520514784948,-0.008678113450903609,-0.010802738281857712,-0.030771043790585324,-0.04136916845186572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.0178513626543724,0.035577232346505575,-0.0058444756172273465,-0.055755229731616764,0.005501253440490234,-0.015197529535659627,-0.014791571252938845,-0.008793299103803609,-0.03318018686836181,-0.020307115990992473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,-0.02832018615637461,0.029438495525037463,-0.010438149984035154,-0.057500197655399855,0.01601040354970357,-0.013749479211704885,-0.012776840256689037,-0.00473150624367206,-0.0411953486494072,-0.007379476624014587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
