Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH8_1,0.01860288055046746,0.03604130464889433,-0.00709770494505115,-0.042650693786209046,0.03323310043662786,-0.02778891453762417,-0.02452819614630678,-0.2034066906895327,0.03766818037175614,0.05147015647395797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.019565858627143117,0.0473124371792959,-0.005080698228076749,-0.05612946621749712,0.03199249684162762,-0.03726158785107343,-0.03317032310787751,-0.1875404162121856,0.0374097200612659,0.05444540206180965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.019128074435436213,0.052315099893704704,-0.006960529375659385,-0.05418056027072927,0.028341681885978454,-0.0291226355018823,-0.019551628973820935,-0.19248965093785,0.04133544064734292,0.032728130875722225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.01806674325271793,0.04591165903145851,-0.010230308354872725,-0.05476022496657527,0.03611706916728746,-0.030700543632973795,-0.020014568965720098,-0.19060984733635972,0.0380722345508959,0.039691208290017176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.018015621748307478,0.04869614512052225,-0.010471091717481612,-0.04836662384316974,0.03233805423521477,-0.02816500888894434,-0.02711410454919805,-0.1911623999994734,0.04108693108610486,0.03668589891622896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.018540931596704155,0.005405272873847381,0.00463560095299845,-0.033135114979484806,0.014693930042178728,-0.0051031862345078715,-0.002400790828725567,-0.09060520793918682,0.017586209699511527,-0.02099236829125363,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.03396258551465428,0.0059528413933256415,0.0008522669387900318,-0.025686330458392265,0.024965122095916586,-0.012935978107802244,-0.0016533417060323385,-0.09435070959284254,0.026971432313970894,-0.01860930460950603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.03216468877766443,0.004855821521385856,0.0008710462178872977,-0.020224383330863457,0.016543265859717906,-0.003859375329769175,-0.006173376285511515,-0.08303708085223388,0.01809505562419477,-0.023362871606064872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.028148511949440708,0.003946054331634352,0.000206575030865877,-0.03163965768464234,0.01562588162720203,-0.012927721596282459,-0.00011115168099818161,-0.07674610640367736,0.017915433936792867,-0.016577375204018925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.02315573062747717,0.007803958090751068,0.005584807567622351,-0.0291786626726389,0.010236863315753315,-0.012846893548317577,-0.0013874913460534552,-0.08646892433905086,0.02289791324540325,-0.021942425967882512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.028053581892796192,0.00559963790618855,0.0014701156642125998,-0.02592492612645678,0.014061915892297805,-0.008922053944805393,-0.002988783921236577,-0.07755562637487183,0.014008223534278252,-0.020151507038137187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.04860566972066526,-0.001156482366116153,-0.002457131568504416,-0.03890899470318919,0.023249261042346127,-0.012194869544195089,-0.009368730103192122,-0.06481493894496691,0.012921555761409846,0.01287941384574641,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.05021184305457965,0.000644653756981308,-0.006580425176931462,-0.04114690723302571,0.02028916539705318,-0.015075258719532384,-0.013867862875694815,-0.06966464428798014,0.01597704192056604,0.031179493971816873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.06469408593585958,0.0005284990240698277,-0.0028526394717071383,-0.03426669992344535,0.02534905437218106,-0.012870105652381544,-0.022019891891142594,-0.06481282626967068,0.02282760177617488,0.024354507670454353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
